"","x","y","sbplt_d","meanTCH_2017","meanTCH_2024","AGBpredicted2017","AGBpredicted2024","AGBpredict_dif","Quartile"
"2042",755931.3,1598191.5,"SES1_0_0",20.874361038208,23.4653377532959,259.960319382051,301.724911860179,41.7645924781282,"Q4"
"14527",756413.3,1598188.5,"SES2_0_0",22.5843811035156,24.9963665008545,287.375449137169,327.01301451403,39.6375653768602,"Q4"
"34210",756091.3,1598183.5,"OGS1_0_0",24.749267578125,22.7601490020752,322.902254497497,290.226425515672,-32.6758289818249,"Q1"
"853149",754825.3,1597978.5,"SES5_0_0",27.4907093048096,29.2877635955811,369.119005280285,400.11440380442,30.9953985241352,"Q4"
"1252908",754484.3,1597878.5,"MST_0_4",25.3109722137451,25.3822441101074,332.262910287529,333.454728660306,1.19181837277688,"Q3"
"1253008",754584.3,1597878.5,"MST_1_4",24.4194240570068,23.7489051818848,317.432422333297,306.375491468505,-11.0569308647923,"Q3"
"1253108",754684.3,1597878.5,"MST_2_4",19.5103054046631,17.3851871490479,238.52561154429,205.948717288956,-32.5768942553337,"Q1"
"1253208",754784.3,1597878.5,"MST_3_4",24.0665035247803,22.4612789154053,311.602231846949,285.38232265844,-26.2199091885092,"Q2"
"1253308",754884.3,1597878.5,"MST_4_4",21.2500705718994,20.4149055480957,265.932876041631,252.6963588157,-13.2365172259309,"Q2"
"1253408",754984.3,1597878.5,"MST_5_4",25.6933975219727,24.9097347259521,338.668573128059,325.570530069421,-13.0980430586382,"Q3"
"1648458",753935.3,1597779.5,"SIS2_0_0",10.6968383789062,12.9722900390625,110.962610971728,141.851841105401,30.8892301336732,"Q4"
"1653008",754484.3,1597778.5,"MST_0_3",30.0572757720947,28.5127258300781,413.548617387691,386.680919701986,-26.8676976857054,"Q2"
"1653108",754584.3,1597778.5,"MST_1_3",28.7381477355957,27.0614643096924,390.577916005083,361.795718473811,-28.7821975312723,"Q1"
"1653208",754684.3,1597778.5,"MST_2_3",19.8232479095459,18.4541301727295,243.408025969328,222.206750655487,-21.2012753138418,"Q2"
"1653308",754784.3,1597778.5,"MST_3_3",22.2634963989258,20.5516128540039,282.186313011775,254.853068710273,-27.3332443015014,"Q1"
"1653408",754884.3,1597778.5,"MST_4_3",18.9423046112061,18.0706405639648,229.718618656413,216.343649087083,-13.3749695693293,"Q2"
"1653508",754984.3,1597778.5,"MST_5_3",28.3200149536133,26.1660690307617,383.356086136228,346.621927623399,-36.7341585128287,"Q1"
"2053108",754484.3,1597678.5,"MST_0_2",24.7814311981201,22.8801193237305,323.4366988375,292.175820191252,-31.2608786462483,"Q1"
"2053208",754584.3,1597678.5,"MST_1_2",22.5321483612061,22.6999797821045,286.529394063547,289.249793624081,2.7203995605343,"Q3"
"2053308",754684.3,1597678.5,"MST_2_2",21.9121170043945,20.0649757385254,276.527451025866,247.193842570893,-29.3336084549724,"Q1"
"2053408",754784.3,1597678.5,"MST_3_2",21.9843502044678,21.1741733551025,277.688733758693,264.724013334132,-12.9647204245605,"Q3"
"2053508",754884.3,1597678.5,"MST_4_2",25.4392890930176,22.9320220947266,334.409302117867,293.020054143802,-41.3892479740648,"Q1"
"2053608",754984.3,1597678.5,"MST_5_2",24.7371139526367,22.1154689788818,322.700354114178,279.799375914826,-42.9009781993512,"Q1"
"2453208",754484.3,1597578.5,"MST_0_1",23.6623630523682,21.9710483551025,304.954559869928,277.474803384393,-27.4797564855345,"Q1"
"2453308",754584.3,1597578.5,"MST_1_1",21.1125907897949,19.9734172821045,263.74401897644,245.758426034367,-17.9855929420731,"Q2"
"2453408",754684.3,1597578.5,"MST_2_1",22.8312358856201,21.1856422424316,291.381176305946,264.906609657506,-26.4745666484397,"Q2"
"2453508",754784.3,1597578.5,"MST_3_1",28.8203353881836,28.606653213501,392.000824002473,388.303675970981,-3.69714803149196,"Q3"
"2453608",754884.3,1597578.5,"MST_4_1",22.3081932067871,22.7766361236572,282.907902010569,290.494158207422,7.5862561968529,"Q4"
"2453708",754984.3,1597578.5,"MST_5_1",20.8310451507568,21.0276527404785,259.273615417887,262.393639012693,3.12002359480579,"Q3"
"2853308",754484.3,1597478.5,"MST_0_0",25.0466594696045,25.178581237793,327.851057905284,330.051485606327,2.20042770104345,"Q3"
"2853408",754584.3,1597478.5,"MST_1_0",26.5765743255615,25.9714527130127,353.561213719394,343.342439983537,-10.2187737358568,"Q3"
"2853508",754684.3,1597478.5,"MST_2_0",26.1005458831787,25.2290935516357,345.517047236939,330.89485615905,-14.6221910778896,"Q2"
"2853608",754784.3,1597478.5,"MST_3_0",28.1576309204102,28.3718357086182,380.55927616023,384.249541578725,3.69026541849513,"Q4"
"2853708",754884.3,1597478.5,"MST_4_0",30.160228729248,29.2995529174805,415.353174407143,400.319502271702,-15.0336721354418,"Q2"
"2853808",754984.3,1597478.5,"MST_5_0",20.8112163543701,20.8879623413086,258.959391804633,260.176026651736,1.21663484710285,"Q3"
"4870411",755083.3,1596974.5,"SIS1_0_0",9.36334228515625,11.2265396118164,93.6580540804649,118.006284234711,24.3482301542459,"Q4"
"6533534",757791.3,1596559.5,"SIS5_0_0",4.33433294296265,6.46283578872681,35.1232513125594,58.414951527655,23.2917002150956,"Q4"
"10253205",756532.3,1595629.5,"SIS3_0_0",10.7918996810913,12.5368204116821,112.219806378919,135.816328560712,23.5965221817928,"Q4"
"10772860",756057.3,1595499.5,"SIS4_0_0",7.50127649307251,9.06713390350342,70.6196983347417,89.9016981730186,19.2819998382769,"Q4"
"15707428",757392.3,1594266.5,"OGS2_0_0",23.4946460723877,21.9482040405273,302.204867505676,277.107486503835,-25.0973810018417,"Q2"
"16263743",757568.3,1594127.5,"SES3_0_0",17.9735355377197,19.9063968658447,214.864389052204,244.70884615582,29.8444571036161,"Q4"
